"Nr.","Bereich / Seite","Mangel / gewünschte Änderung","Anmerkung / offene Frage","Priorität","offen"
"1","Startbildschirm, Porsche-Bilder","Beim blauen Porsche müssen die Felgen bildbearbeitet werden – Verschmutzungen bzw. Kalkflecken/Kalkränder entfernen.","","3","offen"
"2","Reiter ""Fahrzeug"" – Überschrift","Quadratmeterzahl in ""Professionelle Fahrzeugaufbereitung in Leipzig"" auf über 3.500 m² anpassen.","","1","offen"
"3","Reiter ""Fahrzeug"" – Leistungsaufzählung","Statt ""Innenraum, Außenpflege, Lackreinigung"" neu: ""Innenraum und Außenpflege, Politur, Versiegelung, Geruchsentfernung"".","Offen: entfällt ""Lackreinigung"" komplett oder geht sie in ""Politur/Versiegelung"" auf?","2","offen"
"4","Sektion ""Was kostet eine Autoaufbereitung in Leipzig""","Swissvax / Premiumpflege exklusiv nicht mehr mit Festpreis, sondern ""Preis nach Absprache"" (je nach Aufwand).","","2","offen"
"5","Paket ""Brilliant Außenpflege""","""Schonende Oberwäsche inkl. Abledern"" ändern in ""Schonende Handoberwäsche"".","","1","offen"
"6","Programm ""Intensiv Innenraumreinigung""","Polstershampoonierung und Teppichreinigung ergänzen. ""Oberwäsche inkl. Abledern"" ändern in ""Schonende Oberwäsche"".","","1","offen"
"7","Preisgestaltung allgemein","Aufpreise klären: Geländewagen/Großraumlimousinen +20%, Transporter +50%. Entweder als Fußnote bei den Paketen ausweisen oder Preise entfernen und auf ""Preis nach Absprache"" umstellen.","Entscheidung noch offen (Fußnote vs. Preis nach Absprache)","3","offen"
"8","Struktur ""Innen/Außen/Lack im Überblick""","Inhaltliche Doppelung zwischen ""Außenaufbereitung"" und ""Lackaufbereitung"" – Abgrenzung der Leistungsinhalte überarbeiten.","","2","offen"
"9","Preisdarstellung Lackaufbereitung","Lackaufbereitung bereits bei den Paketen vorne mit ausweisen, z. B. ""Preis nach Aufwand"" oder nach Stundenverrechnungssatz.","","1","offen"
"10","Alle Inhalte","Bezeichnung ""Premium-Exklusiv"" nicht mehr mit dem Preis von 48 € verknüpfen/nennen – überall anpassen.","","1","offen"
"11","Allgemein / Impressum","Bezeichnung ändern/ergänzen: ""Meisterbetrieb im Kfz-Lackier- und Karosseriebauhandwerk"".","","1","offen"
"12","Bereich ""Versicherungsagenturen""","""Instandsetzen statt Tauschen"" korrekt zusammenschreiben: ""Instandsetzung statt Tauschen"".","","1","offen"
"13","""Woran sich die Arbeitsqualität festmachen lässt""","Ergänzung um Autotex/DAT-Kalkulationen sowie ""Mitglied im BVAT"" (Bundesverband Autoreparatur-Technik).","","1","offen"
"14","Drohnenvideo","Aktuell nur Teilausschnitt eingebunden – der Schwenk durch die Karosserieabteilung fehlt. Vollständiges Video ergänzen.","ganzes Video ist zu Groß für einzelner Upload, Überlegung einzelne Bereiche nochmals separat mit Video zu Beleuchten","3","offen"
"15","Sektion ""Entwicklung"" – Überschrift","Überschrift ändern in ""Von der Fahrzeugaufbereitung zum Full-Service-Betrieb"" (nicht ""von der Lackiererei..."").","","1","offen"
"16","Sektion ""Entwicklung"" – 1998","1998: Gründung in Leipzig, Start als Kfz-Aufbereitungsbetrieb und Anbieter/Dienstleister für Premiumhersteller in Leipzig und im gesamten Bundesgebiet – von Anfang an fachliche Grundlage.","","1","offen"
"17","Sektion ""Entwicklung"" – Meilenstein 1 (2000)","Erweiterung um das Geschäftsfeld Spot- und Smart-Repair.","","1","offen"
"18","Sektion ""Entwicklung"" – Meilenstein 2 (2013)","Umzug in ein neues Objekt auf über 3.500 m² Fläche mit modernster Ausstattung. Erweiterung des gesamten Dienstleistungsportfolios um Komplettreparatur, Neuteillackierung und gesamte Karosserieinstandsetzung sowie Schaffung komplett neuer Arbeitsbereiche.","","1","offen"
"19","Sektion ""Entwicklung"" – Meilenstein 3","Beginn/Ausweitung der Zusammenarbeit im Schadens- und Versicherungsbereich durch großflächige Partnerschaften mit der Versicherungswirtschaft; Ausbildungsbetrieb im Lackierhandwerk und Karosseriebauhandwerk.","","1","offen"
"20","Sektion ""Entwicklung"" – Meilenstein 4 (2026)","Vollständige Digitalisierung aller Geschäftsprozesse.","","1","offen"
"21","Formular ""Aufbereitungstermin anfragen""","Programmbezeichnungen ans einheitliche Wording anpassen: ""Innenaufbereitung"" → ""Intensiv Innenraumreinigung"", ""Außenaufbereitung"" → ""Brilliant Außenpflege"", ""Komplettaufbereitung"" → ""Premiumpflege"". Konsistent auf der gesamten Seite durchziehen.","","1","offen"
