"Bereich","Aufgabe","Verantwortlich","Status","Relevanz"
"Offene Frage","„Bildtechnisch noch was ändern"" (Teil 1) – unklar, ob Bildgrößen/-formate oder Darstellung gemeint waren","André","Klärung","3. Schleife"
"Offene Frage","Slogan-Wortlaut: Richtung klar, exakte Formulierung noch offen","Oalab / André","Klärung","3. Schleife"
"Offene Frage","Preisdarstellung Zusatzleistungen: „nicht bepreisen"" vs. „Ab-Preise wären aus Kundensicht wünschenswert"" – final entscheiden","André","Klärung","3. Schleife"
"Offene Frage","reparatur.info / PDR Cloud: Wird aktiv genutzt? Falls nein, kippt die Logik aus Nr. 66 und 103","André","Klärung","3. Schleife"
"Offene Frage","Bilder-Upload im Formular: Entscheidung „raus"" steht, André sieht aber Nutzen zur Ersteinschätzung → finales Go, alternativ über reparatur.info kommunizieren","André","Klärung","3. Schleife"
"Offene Frage","Ausbildungsstellen: widersprüchlich – erst „nein"", dann „haben wir aktuell auch schon"". Vor Umsetzung der Karrierekarten klären","André","Klärung","3. Schleife"
"Bringschuld André","Freigaben Partner-Logos (Autohäuser, Versicherungen, Agenturen) für Logo-Nutzung und Verlinkung einholen","André","offen","3. Schleife"
"Bringschuld André","Klärung Vintech – ob und wie der Autoglaspartner genannt werden darf; Inhalte Autoglas-Subseite zuliefern","André","offen","3. Schleife"
"Bringschuld André","Bilder Innenaufbereitung: exklusives Fahrzeug, kein Transporter","André","offen","3. Schleife"
"Bringschuld André","Foto: Felge in Reparatur / beim Lackieren (vorhanden nur beschädigte Felgen)","André","offen","3. Schleife"
"Bringschuld André","Foto: Hagelschaden (Archiv oder anstehendes Fahrzeug)","André","offen","3. Schleife"
"Bringschuld André","Foto: Neu-/Reparaturlackierung – Stoßstange beim Schleifen, angeschliffenes Teil oder Lackierkabine","André","offen","3. Schleife"
"Bringschuld André","Foto: Smart Repair, echte Nahaufnahme","André","offen","3. Schleife"
"Bringschuld André","Foto: Delle, während sie entfernt wird","André","offen","3. Schleife"
"Bringschuld André","Fotopaket Aufbereitung: Versiegelung, Felgenreinigung, Politur, Keramikapplikation während der Arbeit (Termin Dienstag)","André","offen","3. Schleife"
"Sonstiges","Wissensdatenbank-Seite bleibt vorerst Platzhalter, wird komplett neu gestaltet","Oalab","offen","3. Schleife"
